,Title,Year,Age,IMDb
541,Slugterra,2012,7+,6.3
542,The Final Table,2018,all,7.7
543,Velvet,2014,16+,8.1
544,Criminal: UK,2019,18+,7.4
545,Salt Fat Acid Heat,2018,,7.7
546,Suburra: Blood on Rome,2017,16+,8
547,Signal,2016,,8.8
548,The Rise of Phoenixes,2018,7+,8.6
549,The Family,2019,16+,6.4
550,Red vs. Blue,2003,,8.3
551,Huntik: Secrets & Seekers,2009,7+,8.3
552,Cells at Work!,2018,16+,7.6
553,Flaked,2016,18+,7.2
554,The Irregular at Magic High School,2014,16+,7.2
555,Too Hot to Handle,2020,,4.5
556,The Disastrous Life of Saiki K.,2016,16+,8.3
557,Wanted,2016,16+,7.7
558,Dad's Army,1968,7+,8.1
559,Bad Education,2012,16+,7.4
560,Angel Beats!,2010,16+,7.7
561,Dogs,2018,all,8.1
562,Fate/stay night,2006,18+,7.4
563,Brain Games,2011,7+,8.3
564,Knights of Sidonia,2014,18+,7.8
565,Girlboss,2017,18+,7
566,The Trial,2019,,7
567,Call My Agent,2015,7+,8.3
568,"What's New, Scooby-Doo?",2002,7+,7.2
569,Teasing Master Takagi-san,2018,7+,7.5
570,Yu-Gi-Oh!,1998,,7.9
571,Blue Exorcist,2011,16+,7.5
572,Black Money Love,2014,,7.2
573,WHAT / IF,2019,18+,6.3
574,The Assets,2014,16+,7.5
575,Baki,2018,18+,6.7
576,Nightflyers,2018,16+,5.9
577,Stranger,2017,,8.6
578,How to Fix a Drug Scandal,2020,18+,6.9
579,Scissor Seven,2018,7+,8
580,The Circle France,2020,,7.4
581,Memories of the Alhambra,2018,16+,7.8
582,Republic of Doyle,2010,16+,7.2
583,Sick Note,2017,18+,6.8
584,The Last O.G.,2018,7+,6.9
585,Night on Earth,2020,7+,8.2
586,Börü,2018,18+,8.2
587,Typewriter,2019,18+,6.5
588,Inspector Gadget,1983,7+,6.8
589,Sofia the First,2013,all,6.9
590,Hap and Leonard,2016,16+,7.6
591,Jessie,2011,all,5.9
592,I Think You Should Leave with Tim Robinson,2019,18+,7.4
593,Kipo and the Age of Wonderbeasts,2020,,8.3
594,K-ON!,2009,16+,7.6
595,Thieves of the Wood,2020,18+,6.7
596,Slasher,2016,18+,6.7
597,Freud,2020,18+,6.6
598,Between,2015,16+,6
599,Norm Macdonald Has a Show,2018,,8.7
600,Rita,2012,16+,8.1
601,She's Gotta Have It,2017,18+,6.7
602,The Nineties,2017,7+,8.2
603,Casanova,2005,16+,7.9
604,The Good Cop,2018,16+,7
605,Bondi Rescue,2006,7+,7.6
606,Black Earth Rising,2018,16+,7.4
607,Tidelands,2018,18+,7
608,Nobel,2016,18+,8.1
609,Well-Intended Love,2019,,7.5
610,"Drugs, Inc.",2010,16+,7.8
611,Midnight Diner: Tokyo Stories,2016,16+,8.4
612,Zindagi Gulzar Hai,2012,,9
613,People Just Do Nothing,2014,18+,8.5
614,"Love, Chunibyo & Other Delusions",2012,16+,7.4
615,Man Like Mobeen,2017,,7.9
616,Turn Up Charlie,2019,,7.1
617,Tidying Up with Marie Kondo,2019,7+,6.6
618,Home for Christmas,2019,18+,7.6
619,Wild District,2018,18+,8.4
620,Toast of London,2013,16+,8.2
621,The Standups,2017,,6.7
622,World War II In HD Colour,2009,7+,8.7
623,Roman Empire,2016,16+,6.9
624,Pandemic: How to Prevent an Outbreak,2020,16+,6.3
625,The Windsors,2016,18+,7
626,A Korean Odyssey,2017,,8.1
627,Charité at War,2017,7+,7.7
628,The Bernie Mac Show,2001,7+,6.9
629,Charmed,2018,16+,4.5
630,Another Life,2019,18+,4.9
631,Cooked With Cannabis,2020,18+,6.9
632,The Victims' Game,2020,18+,7.4
633,The Joel McHale Show with Joel McHale,2018,18+,7.3
